Season,Seed,TeamID
2019,W01,1181
2019,W02,1277
2019,W03,1261
2019,W04,1439
2019,W05,1280
2019,W06,1268
2019,W07,1257
2019,W08,1433
2019,W09,1416
2019,W10,1278
2019,W11a,1125
2019,W11b,1396
2019,W12,1251
2019,W13,1387
2019,W14,1463
2019,W15,1133
2019,W16a,1295
2019,W16b,1300
2019,X01,1211
2019,X02,1276
2019,X03,1403
2019,X04,1199
2019,X05,1266
2019,X06,1138
2019,X07,1305
2019,X08,1393
2019,X09,1124
2019,X10,1196
2019,X11a,1113
2019,X11b,1385
2019,X12,1293
2019,X13,1436
2019,X14,1297
2019,X15,1285
2019,X16a,1192
2019,X16b,1341
2019,Y01,1314
2019,Y02,1246
2019,Y03,1222
2019,Y04,1242
2019,Y05,1120
2019,Y06,1235
2019,Y07,1459
2019,Y08,1429
2019,Y09,1449
2019,Y10,1371
2019,Y11,1326
2019,Y12,1308
2019,Y13,1318
2019,Y14,1209
2019,Y15,1101
2019,Y16,1233
2019,Z01,1438
2019,Z02,1397
2019,Z03,1345
2019,Z04,1243
2019,Z05,1458
2019,Z06,1437
2019,Z07,1153
2019,Z08,1279
2019,Z09,1328
2019,Z10,1234
2019,Z11,1388
2019,Z12,1332
2019,Z13,1414
2019,Z14,1330
2019,Z15,1159
2019,Z16,1205
